Numero de Ordem;Numero de Clausulas;Numero de exemplos Alvo no cubo;Numero de exemplos no cubo;Cobertura da Regra;Confianca da Regra;Lift da Regra;Significancia Estatistica da Regra;Clausula 1;Clausula 2;Clausula 3;Clausula 4
8;1;911.0;5650.0;0.12496958704739997;0.16123893805309736;1.3782895875058772;6.246395030146424e-23;housing = no;day = (21.5,inf];;
8;0;1935.0;25130.0;0.5558381809736569;0.07699960206923995;0.6582017411897159;1.1379626406289916e-96;housing = yes;;;
8;0;3354.0;20081.0;0.44416181902634316;0.1670235546038544;1.4277371766297715;4.256731471544544e-97;housing = no;;;
9;2;503.0;3005.0;0.06646612550043131;0.16738768718801997;1.43084982519523;3.739585146467237e-16;job = management;day = (4.5, 16.5] ;education = tertiary;
9;1;575.0;3683.0;0.0814624759461193;0.15612272603855554;1.334555599721901;1.3405788321098856e-12;job = management;day = (4.5, 16.5];;
9;1;348.0;4643.0;0.10269624648868639;0.07495153995261684;0.6406946630360674;3.876787884917642e-21;job = blue-collar;day = (4.5, 16.5];;
9;0;708.0;9732.0;0.21525734887527373;0.07274969173859433;0.6218730030617486;2.5398721529907557e-47;job = blue-collar;;;
9;0;516.0;2264.0;0.05007630886288735;0.22791519434628976;1.9482461432388176;1.4704142348759105e-49;job = retired;;;
9;0;369.0;4154.0;0.09188029461856628;0.08883004333172845;0.7593297578125874;5.699673329781307e-09;job = services;;;
10;3;513.0;3430.0;0.07586649266771361;0.14956268221574345;1.2784795662045711;1.0618548246022125e-08;day = (4.5, 16.5];education = secondary ;campaign = (-inf,1.5] ;loan = no
10;2;807.0;4504.0;0.09962177346221053;0.1791740674955595;1.531601203543532;4.632280231597858e-34;day = (4.5, 16.5];education = tertiary ;loan = no;
10;2;604.0;2957.0;0.06540443697330296;0.20426107541427121;1.7460479259887722;7.062761215683523e-42;day = (21.5,inf];campaign = (-inf,1.5] ;loan = no;
10;1;861.0;5169.0;0.1143305832651346;0.1665699361578642;1.4238595922921533;7.724229333773909e-26;day = (4.5, 16.5];education = tertiary;;
10;1;282.0;3292.0;0.0728141381522196;0.08566221142162819;0.7322507545061887;6.207343281550715e-09;day = (4.5, 16.5];education = primary;;
10;1;202.0;2647.0;0.05854769856893234;0.07631280695126558;0.6523309349732781;7.175451836301994e-12;day = (18.5, 21.5];campaign = (1.5, 3.5];;
10;1;653.0;3543.0;0.07836588440866162;0.18430708439175839;1.5754788414512741;3.001835413621407e-31;day = (21.5,inf];campaign = (-inf,1.5];;
10;1;635.0;3482.0;0.07701665523876933;0.18236645605973578;1.558890120044756;3.25141836056916e-29;day = (-inf,4.5];loan = no;;
10;1;209.0;2598.0;0.057463891530822146;0.0804464973056197;0.6876662109442943;1.3836409095404252e-09;day = (16.5, 18.5];marital = married;;
10;0;515.0;6535.0;0.144544469266329;0.07880642693190512;0.6736466946527438;4.9988021836773e-24;day = (18.5, 21.5];;;
10;0;680.0;4139.0;0.09154851695383867;0.16429089151969076;1.4043780481181205;2.2474665413262135e-19;day = (-inf,4.5];;;
11;3;415.0;2420.0;0.0535267965760545;0.17148760330578514;1.4658963949816322;3.3607903485905807e-15;campaign = (-inf,1.5];loan = no ;education = secondary ;marital = single
11;3;346.0;2427.0;0.05368162615292738;0.14256283477544293;1.2186440391439877;0.00013128035874483503;campaign = (1.5, 3.5];education = tertiary ;loan = no ;marital = married
11;3;410.0;4411.0;0.09756475194089934;0.0929494445703922;0.7945428887260355;3.614589117626687e-07;campaign = (1.5, 3.5];education = secondary ;marital = married ;loan = no
11;2;859.0;4319.0;0.09552984893057;0.1988886316276916;1.7001236385932246;9.406712170501893e-54;campaign = (-inf,1.5];loan = no ;education = tertiary;
11;2;1128.0;7559.0;0.16719382451173387;0.14922608810689245;1.2756023197959376;3.704211272589505e-17;campaign = (-inf,1.5];loan = no ;education = secondary;
11;2;737.0;4591.0;0.10154608391763066;0.16053147462426487;1.372242106114131;2.145194170768681e-18;campaign = (1.5, 3.5];education = tertiary ;loan = no;
11;2;483.0;5527.0;0.12224901019663356;0.08738918038719015;0.7470130902789287;1.21133851829744e-12;campaign = (1.5, 3.5];education = secondary ;marital = married;
11;1;2340.0;14715.0;0.32547388909778596;0.15902140672782875;1.3593338664344612;6.7012149173732e-52;campaign = (-inf,1.5];loan = no;;
11;1;221.0;2829.0;0.06257326756762735;0.07811947684694238;0.6677745637600893;1.5220599422026776e-11;campaign = (-inf,1.5];loan = yes;;
11;1;781.0;5284.0;0.11687421202804628;0.14780469341408023;1.2634520691896354;1.6978925518254874e-11;campaign = (1.5, 3.5];education = tertiary;;
11;1;244.0;2770.0;0.061268275419698745;0.08808664259927798;0.7529750800824271;1.0395327049499902e-06;campaign = (1.5, 3.5];education = primary;;
11;0;2561.0;17544.0;0.3880471566654133;0.14597583219334245;1.2478187463212715;6.569177476712337e-31;campaign = (-inf,1.5];;;
11;0;278.0;3790.0;0.08382915662117627;0.0733509234828496;0.6270124034000971;7.072910767729294e-19;campaign = (4.5, 7.5];;;
11;0;317.0;3522.0;0.07790139567804295;0.09000567859170926;0.7693792276063088;2.702371417575075e-07;campaign = (3.5, 4.5];;;
11;0;114.0;2329.0;0.05151401207670699;0.048948046371833406;0.4184137123306788;6.876517640200357e-30;campaign = (7.5,inf];;;
12;3;838.0;5935.0;0.13127336267722456;0.14119629317607413;1.2069626792935313;1.7077512686480875e-08;loan = no;education = tertiary ;marital = married ;default = no
12;3;836.0;4250.0;0.09400367167282299;0.19670588235294117;1.6814652386195545;2.1783241365706776e-50;loan = no;education = tertiary ;marital = single ;default = no
12;3;360.0;4379.0;0.09685695958948044;0.08221055035396209;0.7027455458598941;6.848404114075364e-14;loan = no;education = primary ;marital = married ;default = no
12;3;156.0;2630.0;0.058171683882241046;0.05931558935361217;0.5070367007498884;1.3338592145153785e-23;loan = yes;marital = married ;education = secondary ;default = no
12;2;839.0;4287.0;0.09482205657915109;0.19570795428038254;1.6729348309643364;1.2236040345208108e-49;loan = no;education = tertiary ;marital = single;
12;2;361.0;4430.0;0.09798500364955431;0.08148984198645598;0.6965848451597015;1.5441967016996845e-14;loan = no;education = primary ;marital = married;
12;2;159.0;2716.0;0.06007387582667935;0.0585419734904271;0.5004237404945546;4.894564164622342e-25;loan = yes;marital = married ;education = secondary;
12;1;1865.0;11517.0;0.25473889097785934;0.1619345315620387;1.3842356034129955;2.4667354557716917e-46;loan = no;education = tertiary;;
12;1;541.0;5827.0;0.12888456349118577;0.09284365882958641;0.793638619652946;3.735198018160686e-09;loan = no;education = primary;;
12;1;270.0;4660.0;0.10307226117537767;0.05793991416309013;0.49527726587775905;7.92252775515624e-43;loan = yes;marital = married;;
12;0;484.0;7244.0;0.16022649355245405;0.06681391496410823;0.5711332783971066;2.6296046354443694e-46;loan = yes;;;
13;2;876.0;4736.0;0.10475326800999757;0.18496621621621623;1.581113178550076;5.121127806920752e-42;education = tertiary;marital = single ;default = no;
13;2;394.0;5162.0;0.1141757536882617;0.07632700503680744;0.652452301894328;8.073017823353137e-22;education = primary;marital = married ;default = no;
13;1;880.0;4792.0;0.10599190462498065;0.18363939899833054;1.5697713874292913;5.332287721650588e-41;education = tertiary;marital = single;;
13;1;396.0;5246.0;0.11603370861073632;0.07548608463591308;0.6452640144591163;4.622067826501376e-23;education = primary;marital = married;;
13;0;1996.0;13301.0;0.29419831456946316;0.15006390496955116;1.2827640778178062;2.5416298489441875e-30;education = tertiary;;;
13;0;591.0;6851.0;0.15153391873659064;0.08626477886439936;0.7374015725540479;1.922914798614455e-16;education = primary;;;
14;1;1891.0;12551.0;0.27760943133308263;0.1506652856346108;1.2879047511488728;1.1935988621317359e-29;marital = single;default = no;;
14;0;1912.0;12790.0;0.2828957554577426;0.1494917904612979;1.2778735750700962;2.5879699878457023e-28;marital = single;;;
